time	V(out)
3.500000600000000e-03	3.271677e+00
3.500001000000000e-03	3.271677e+00
3.501447521785969e-03	3.268476e+00
3.502894043571939e-03	3.265714e+00
3.504340565357909e-03	3.263389e+00
3.505787087143879e-03	3.261503e+00
3.507233608929848e-03	3.260055e+00
3.508680130715818e-03	3.259046e+00
3.510126652501788e-03	3.258474e+00
3.515009465001787e-03	3.258778e+00
3.519892277501787e-03	3.263105e+00
3.520979237858675e-03	3.264533e+00
3.522066198215562e-03	3.266224e+00
3.523153158572450e-03	3.268177e+00
3.524240118929337e-03	3.270392e+00
3.525327079286225e-03	3.272869e+00
3.526414039643112e-03	3.275609e+00
3.527501000000000e-03	3.278611e+00
3.527501300000000e-03	3.278612e+00
3.527501600000000e-03	3.278613e+00
3.527502000000000e-03	3.278614e+00
3.532436245000255e-03	3.290795e+00
3.537370490000511e-03	3.300997e+00
3.542304735000766e-03	3.309217e+00
3.547238980001021e-03	3.315457e+00
3.552173225001276e-03	3.319716e+00
3.557107470001532e-03	3.321995e+00
3.562041715001787e-03	3.322294e+00
3.566924527501787e-03	3.320972e+00
3.571807340001787e-03	3.317985e+00
3.576690152501787e-03	3.313397e+00
3.581572965001787e-03	3.307272e+00
3.586455777501787e-03	3.299673e+00
3.588381666430099e-03	3.296372e+00
3.590307555358411e-03	3.292846e+00
3.592233444286724e-03	3.289094e+00
3.594159333215035e-03	3.285118e+00
3.596085222143348e-03	3.280915e+00
3.598011111071660e-03	3.276488e+00
3.599936999999972e-03	3.271835e+00
3.599938999999973e-03	3.271830e+00
3.600000000000000e-03	3.271680e+00
3.600000100000000e-03	3.271680e+00
3.600000300000000e-03	3.271679e+00
3.600000600000000e-03	3.271678e+00
3.600001000000000e-03	3.271677e+00
3.601447521785970e-03	3.268477e+00
3.602894043571940e-03	3.265714e+00
3.604340565357909e-03	3.263390e+00
3.605787087143879e-03	3.261504e+00
3.607233608929848e-03	3.260056e+00
3.608680130715818e-03	3.259047e+00
3.610126652501788e-03	3.258475e+00
3.615009465001788e-03	3.258779e+00
3.619892277501788e-03	3.263106e+00
3.620979237858675e-03	3.264534e+00
3.622066198215563e-03	3.266225e+00
3.623153158572450e-03	3.268177e+00
3.624240118929338e-03	3.270392e+00
3.625327079286225e-03	3.272870e+00
3.626414039643113e-03	3.275610e+00
3.627501000000000e-03	3.278612e+00
3.627501300000001e-03	3.278613e+00
3.627501600000000e-03	3.278614e+00
3.627502000000000e-03	3.278615e+00
3.632436245000255e-03	3.290796e+00
3.637370490000511e-03	3.300997e+00
3.642304735000766e-03	3.309218e+00
3.647238980001021e-03	3.315458e+00
3.652173225001277e-03	3.319717e+00
3.657107470001532e-03	3.321996e+00
3.662041715001787e-03	3.322294e+00
3.666924527501787e-03	3.320972e+00
3.671807340001787e-03	3.317985e+00
3.676690152501787e-03	3.313397e+00
3.681572965001787e-03	3.307272e+00
3.686455777501787e-03	3.299673e+00
3.688390666430103e-03	3.296356e+00
3.690325555358419e-03	3.292812e+00
3.692260444286736e-03	3.289040e+00
3.694195333215051e-03	3.285041e+00
3.696130222143368e-03	3.280815e+00
3.698065111071684e-03	3.276361e+00
3.700000000000000e-03	3.271680e+00
3.700000100000000e-03	3.271680e+00
3.700000300000000e-03	3.271680e+00
3.700000600000000e-03	3.271679e+00
3.700001000000000e-03	3.271678e+00
3.701447521785970e-03	3.268477e+00
3.702894043571939e-03	3.265715e+00
3.704340565357909e-03	3.263390e+00
3.705787087143879e-03	3.261504e+00
3.707233608929848e-03	3.260056e+00
3.708680130715818e-03	3.259047e+00
3.710126652501788e-03	3.258475e+00
3.715009465001788e-03	3.258779e+00
3.719892277501787e-03	3.263107e+00
3.720979237858675e-03	3.264535e+00
3.722066198215562e-03	3.266225e+00
3.723153158572450e-03	3.268178e+00
3.724240118929337e-03	3.270393e+00
3.725327079286225e-03	3.272870e+00
3.726414039643113e-03	3.275610e+00
3.727501000000000e-03	3.278612e+00
3.727501300000000e-03	3.278613e+00
3.727501600000000e-03	3.278614e+00
3.727502000000000e-03	3.278615e+00
